Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,Source Roles
GAP,"ACA Duplicate Transactions","aca/acaduplicatetransactions","aca/acaduplicatetransactions","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/acaduplicatetransactions","AR Manager - ACA; AR Manager - ACA Admin"
GAP,"ACA Incorrect Transactions","aca/acaincorrecttransactions","aca/acaincorrecttransactions","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/acaincorrecttransactions","AR Manager - ACA; AR Manager - ACA Admin"
GAP,"ACA Setup","aca/setup/","aca/setup/","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/setup/","AR Manager - ACA Admin"
GAP,"Account Tree Validation","accounttreevalidation/list","accounttreevalidation/list","glmanagernet","glmanagernet","","GL Manager"
GAP,"Add HAP Receipt","affordable/hapreceipt","affordable/hapreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/hapreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Add Journal Display Type","JE/displaytype/0","JE/displaytype/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/JE/displaytype/0","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Add Payable Batch","glap/payablebatchadd","glap/payablebatchadd","glmanagernet","glmanagernet","","GL Manager"
GAP,"Add Rule","armanager/diaddrule/0","armanager/diaddrule/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/diaddrule/0","AR Manager; AR Manager - Payments Admin"
GAP,"Adjustment Batch","armanager/adjustmentbatch/0","armanager/adjustmentbatch/0","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/adjustmentbatch/0","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Affordable Apply Prepay","affordable/affapplyprepay","affordable/affapplyprepay","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/affapplyprepay","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Apply Credits","armanager/applycredits","armanager/applycredits","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/applycredits","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Apply Prepayments","applyprepay","applyprepay","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/applyprepay","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Audit Non Recoverable JE","taxrecovery/auditnonrecoverableje","taxrecovery/auditnonrecoverableje","glmanagernet","glmanagernet","/glmanagernet/content2/taxrecovery/auditnonrecoverableje","GL Manager"
GAP,"Auto NSF Reverse Setup","setup/saveautonsfreversegridsetups","setup/saveautonsfreversegridsetups","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/saveautonsfreversegridsetups","AR Manager - Payments Admin"
GAP,"Bank Manager Configuration","bankreconciliation/bankmanagerconfig","bankreconciliation/bankmanagerconfig","glmanagernet","glmanagernet","/glmanagernet/content2/bankreconciliation/bankmanagerconfig","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Bank Manager Task setup","bankreconciliation/bankmanagertask","bankreconciliation/bankmanagertask","glmanagernet","glmanagernet","/glmanagernet/content2/bankreconciliation/bankmanagertask","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Banks","bank/reviewbank","bank/reviewbank","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/bank/reviewbank","AR Manager; AR Manager - ACA; AR Manager - ACA Admin; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Calculate Billings","icbilling/calculatebillings","icbilling/calculatebillings","glmanagernet","glmanagernet","/glmanagernet/content2/icbilling/calculatebillings","GL Manager"
GAP,"Change Due Date","changetransdate/duedate","changetransdate/duedate","glmanagernet","glmanagernet","/glmanagernet/content2/changetransdate/duedate","GL Manager"
GAP,"Change TaxPoint Date","changetransdate/taxpoint","changetransdate/taxpoint","glmanagernet","glmanagernet","/glmanagernet/content2/changetransdate/taxpoint","GL Manager"
GAP,"Charge Display type","charges/chargedisplaytype","charges/chargedisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/charges/chargedisplaytype","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"CHECKscan App","checkscan/checkscanappdownload","checkscan/checkscanappdownload","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/checkscanappdownload","AR Manager - Payments Admin"
GAP,"CHECKscan App Download","checkscan/checkscanappdownload","checkscan/checkscanappdownload","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/checkscanappdownload","AR Manager - CHECKscan Download"
GAP,"CHECKscan Dual MICR Checks","checkscan/dualMICRChecks","checkscan/dualMICRChecks","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/dualMICRChecks","AR Manager - Payments Admin"
GAP,"CHECKscan Fix Check Numbers","checkscan/checkscanfixcheckno","checkscan/checkscanfixcheckno","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/checkscanfixcheckno","AR Manager - Payments Admin"
GAP,"CHECKscan Setup","setup/checkscansetup","setup/checkscansetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/checkscansetup","AR Manager - Payments Admin"
GAP,"Collect Code Setup","setup/savecollectcodesetups","setup/savecollectcodesetups","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/savecollectcodesetups","AR Manager - Payments Admin"
GAP,"Commercial Late Fee","armanager/commpostlatefee","armanager/commpostlatefee","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/commpostlatefee","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Consolidated Receipt","affordable/consolidatedreceipt","affordable/consolidatedreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/consolidatedreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Create Adhoc Journal Batch","icbilling/createadhocbatch","icbilling/createadhocbatch","glmanagernet","glmanagernet","/glmanagernet/content2/icbilling/createadhocbatch","GL Manager"
GAP,"Create Charge Batch","charge/component?opennewchargebatch=true","charge/component?opennewchargebatch=true | charge/batchcharge/0","ARManagera13NET","ARManagera13NET, glmanagernet","/armanagera13net/content2/charge/component?opennewchargebatch=true","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Create IAT Journal","iatjournals/list","iatjournals/list","glmanagernet","glmanagernet","","GL Manager"
GAP,"Create Late Fee","armanager/commcombinedlatefee","armanager/commcombinedlatefee","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/commcombinedlatefee","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Create Performance Receipts","tools/generateperfrec","tools/generateperfrec","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/generateperfrec","AR Manager - Payments Admin"
GAP,"Credit Card Configuration","setup/creditcardconfiguration","setup/creditcardconfiguration","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/creditcardconfiguration","AR Manager - Payments Admin"
GAP,"Credit Card Reconciliation","tools/reconcilecreditcardbatches","tools/reconcilecreditcardbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/reconcilecreditcardbatches","AR Manager - Payments Admin"
GAP,"Custom Financial - Notes","customfinancialnotes","customfinancialnotes","glmanagernet","glmanagernet","","GL Manager"
GAP,"Deactivate Recurring Payment Setup","tools/deactivatepaymentmanager","tools/deactivatepaymentmanager","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/deactivatepaymentmanager","AR Manager - Payments Admin"
GAP,"Deactivate WIPS Accounts","tools/deactivatewipsaccounts","tools/deactivatewipsaccounts","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/deactivatewipsaccounts","AR Manager - Payments Admin"
GAP,"Deposit Interest Batch Register","receivables/depositinterest/BatchRegister","receivables/depositinterest/BatchRegister","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/receivables/depositinterest/BatchRegister","AR Manager; AR Manager - Payments Admin"
GAP,"Deposit Interest Calculation Reversal","receivables/depositinterest/DICalculationReversal","receivables/depositinterest/DICalculationReversal","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/receivables/depositinterest/DICalculationReversal","AR Manager; AR Manager - Payments Admin"
GAP,"Deposit Interest Conversion","armanager/depositInterestConversion","armanager/depositInterestConversion","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/depositInterestConversion","AR Manager; AR Manager - Payments Admin"
GAP,"Distribute Deposit Interest","armanager/distributedepositinterest","armanager/distributedepositinterest","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/distributedepositinterest","AR Manager; AR Manager - Payments Admin"
GAP,"EC Purchase Audit Non Recoverable JE","taxrecovery/ecpurauditnonrecoverableje","taxrecovery/ecpurauditnonrecoverableje","glmanagernet","glmanagernet","/glmanagernet/content2/taxrecovery/ecpurauditnonrecoverableje","GL Manager"
GAP,"EC Purchase Non Recoverable JE","taxrecovery/ecpurnonrecoverableje","taxrecovery/ecpurnonrecoverableje","glmanagernet","glmanagernet","/glmanagernet/content2/taxrecovery/ecpurnonrecoverableje","GL Manager"
GAP,"Edit EFT Batches","tools/editeftbatches","tools/editeftbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/editeftbatches","AR Manager - Payments Admin"
GAP,"EFT Account Cleanup","setup/eftsetupdelete","setup/eftsetupdelete","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/eftsetupdelete","AR Manager - Payments Admin"
GAP,"Email Notification Setup-Global","setup/emailnotificationsetup","setup/emailnotificationsetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/emailnotificationsetup","AR Manager - Payments Admin"
GAP,"Email Subscription","setup/emailsubscriptionsetup","setup/emailsubscriptionsetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/emailsubscriptionsetup","AR Manager - Payments Admin"
GAP,"Find Adjustment Batch","armanager/adjustmentbatchsearch","armanager/adjustmentbatchsearch","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/adjustmentbatchsearch","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Find Charge Batch","charge/component","charge/component | charge/findchargebatch","ARManagera13NET","ARManagera13NET, glmanagernet","/armanagera13net/content2/charge/component","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Find Journal Batch","journalcomponent/findjournalbatch","journalcomponent/findjournalbatch","glmanagernet","glmanagernet","/glmanagernet/journalcomponent/findjournalbatch","GL Manager"
GAP,"Find Journal Batches","journalcomponent/findjournalbatch","journalcomponent/findjournalbatch","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/journalcomponent/findjournalbatch","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"GPR Configuration","gprconfiguration","gprconfiguration","glmanagernet","glmanagernet","/glmanagernet/content2/gprconfiguration","GL Manager"
GAP,"IC Billing Template","icbilling/reviewicbilling","icbilling/reviewicbilling","glmanagernet","glmanagernet","/glmanagernet/content2/icbilling/reviewicbilling","GL Manager"
GAP,"Journal Display Type","je/reviewdisplaytype","je/reviewdisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/JE/reviewdisplaytype","GL Manager"
GAP,"Late Fees","latefees","latefees","glmanagernet","glmanagernet","","GL Manager"
GAP,"Non-Recoverable JE","taxrecovery/nonrecoverableje","taxrecovery/nonrecoverableje","glmanagernet","glmanagernet","/glmanagernet/content2/taxrecovery/nonrecoverableje","GL Manager"
GAP,"NSF Checks","checkscan/nsfchecks","checkscan/nsfchecks","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/nsfchecks","AR Manager - Payments Admin"
GAP,"Pay Interest","payinterest","payinterest","glmanagernet","glmanagernet","","GL Manager"
GAP,"Payers","tenant/list","tenant/list","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tenant/list","AR Manager; AR Manager - ACA; AR Manager - ACA Admin; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Payment Portal","tools/toportal","tools/toportal","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/toportal","AR Manager - Payments Admin"
GAP,"Payment Processing Property Setup","setup/cmpipropertysetup","setup/cmpipropertysetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/cmpipropertysetup","AR Manager - Payments Admin"
GAP,"Post ACA Batches","aca/postacabatches","aca/postacabatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/aca/postacabatches","AR Manager - ACA Admin"
GAP,"Post CHECKscan Batches","setup/postcheckscanbatches","setup/postcheckscanbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/postcheckscanbatches","AR Manager - Payments Admin"
GAP,"Post Chicago Late Fee","armanager/chicagolatefee","armanager/chicagolatefee","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/chicagolatefee","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Post Credit Card Batches","setup/postcreditcardbatches","setup/postcreditcardbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/postcreditcardbatches","AR Manager - Payments Admin"
GAP,"Post EFT Batches","setup/posteftbatches","setup/posteftbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/posteftbatches","AR Manager - Payments Admin"
GAP,"Post Flex Receipts","tools/postflexbatches","tools/postflexbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/postflexbatches","AR Manager - Payments Admin"
GAP,"Post GL Allocation","glallocatepost","glallocatepost","glmanagernet","glmanagernet","","GL Manager"
GAP,"Post WIPS Batches","tools/postwipsbatches","tools/postwipsbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/postwipsbatches","AR Manager - Payments Admin"
GAP,"Process Payments","tools/processpayments","tools/processpayments","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/processpayments","AR Manager - Payments Admin"
GAP,"Purchase Order Accrual","poaccrual","poaccrual","glmanagernet","glmanagernet","/glmanagernet/content2/poaccrual","GL Manager"
GAP,"Quick Charge Cleanup","armanager/QuickChargeCleanup","armanager/QuickChargeCleanup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/QuickChargeCleanup","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Quick Charges","tools/createquickcharge","tools/createquickcharge","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/createquickcharge","GL Manager"
GAP,"Quick Overpay Cleanup","armanager/QuickOverpayCleanup","armanager/QuickOverpayCleanup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/QuickOverpayCleanup","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Quick Receipt","tools/quickreceipt","tools/quickreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/quickreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Quick Receipts","tools/quickreceipt","tools/quickreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/quickreceipt","GL Manager"
GAP,"Quick Trans","armanager/quicktrans","armanager/quicktrans","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/quicktrans","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Rebuild Tenant Deposit Interest","armanager/rebuild","armanager/rebuild","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/rebuild","AR Manager; AR Manager - Payments Admin"
GAP,"Receipt Display type","receipts/receiptdisplaytype","receipts/receiptdisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/receipts/receiptdisplaytype","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Reconcile Collect Batch","tools/reconcilecollectbatch","tools/reconcilecollectbatch","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/reconcilecollectbatch","AR Manager - Payments Admin"
GAP,"Recurring Payment Setup Global","setup/recurringpaymentsetupglobal","setup/recurringpaymentsetupglobal","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/recurringpaymentsetupglobal","AR Manager - Payments Admin"
GAP,"Reset Checkscan Batch","checkscan/resetcheckscanbatches","checkscan/resetcheckscanbatches","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/checkscan/resetcheckscanbatches","AR Manager - Payments Admin"
GAP,"Residential Write Off","residentialwriteoff","residentialwriteoff","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/residentialwriteoff","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Residential Write Off Charge Code Setup","residentialwriteoff/reswriteoffchargecodesetup","residentialwriteoff/reswriteoffchargecodesetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/residentialwriteoff/reswriteoffchargecodesetup","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Residential Write Off Configuration","residentialwriteoff/reswriteoffconfiguration","residentialwriteoff/reswriteoffconfiguration","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/residentialwriteoff/reswriteoffconfiguration","AR Manager; AR Manager - Payments; AR Manager - Payments Admin; GL Manager"
GAP,"Residential Write Off Setup","residentialwriteoff/reswriteoffchargecodesetup","residentialwriteoff/reswriteoffchargecodesetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/residentialwriteoff/reswriteoffchargecodesetup","GL Manager"
GAP,"Reverse Deposit Interest Calculation","armanager/reversedepositinterest","armanager/reversedepositinterest","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/reversedepositinterest","AR Manager; AR Manager - Payments Admin"
GAP,"Review Charge Display type","charges/reviewdisplaytype","charges/reviewdisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/charges/reviewdisplaytype","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review Charges","charges","charges","glmanagernet","glmanagernet","","GL Manager"
GAP,"Review Company Merchant Setup","setup/reviewcompanymerchant/","setup/reviewcompanymerchant/","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/reviewcompanymerchant/","AR Manager - Payments Admin"
GAP,"Review Consolidated Receipt","affordable/reviewaffconsolidatedreceipt","affordable/reviewaffconsolidatedreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/reviewaffconsolidatedreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review HAP Receipt","affordable/reviewaffhapreceipt","affordable/reviewaffhapreceipt","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/reviewaffhapreceipt","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review Journal","JE/list","JE/list","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/JE/list","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review Journal Display Types","JE/reviewdisplaytype","JE/reviewdisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/JE/reviewdisplaytype","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review Payers","tenant/list","tenant/list","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tenant/list","GL Manager"
GAP,"Review Payments","payments","payments","glmanagernet","glmanagernet","","GL Manager"
GAP,"Review Receipt Display type","receipts/reviewdisplaytype","receipts/reviewdisplaytype","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/receipts/reviewdisplaytype","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Review Receipts","receipts","receipts","glmanagernet","glmanagernet","","GL Manager"
GAP,"Review Rule","armanager/depositinterestrulelist","armanager/depositinterestrulelist","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/depositinterestrulelist","AR Manager; AR Manager - Payments Admin"
GAP,"Segment Setup","segments","segments","glmanagernet","glmanagernet","","GL Manager"
GAP,"Set Up Interest","armanager/interestsetup","armanager/interestsetup","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/interestsetup","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Tenant Based Subsidy Charge Code","affordable/tenantbasedsubsidycharge","affordable/tenantbasedsubsidycharge","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/affordable/tenantbasedsubsidycharge","AR Manager - Payments Admin"
GAP,"Unexclude Late Fee","armanager/unexcludecommcombinedlatefee","armanager/unexcludecommcombinedlatefee","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/armanager/unexcludecommcombinedlatefee","AR Manager; AR Manager - Payments; AR Manager - Payments Admin"
GAP,"Update Receipt Post Month","tools/updatereceiptspostmonth","tools/updatereceiptspostmonth","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/updatereceiptspostmonth","AR Manager - Payments Admin"
GAP,"VAT Return Field Sets","vatreturnfieldset","vatreturnfieldset","glmanagernet","glmanagernet","/glmanagernet/content2/vatreturnfieldset","GL Manager"
GAP,"VAT Return Mapping","vatreturnmapping","vatreturnmapping","glmanagernet","glmanagernet","","GL Manager"
GAP,"WIPS Auto Generate","tools/wipsautogenerate","tools/wipsautogenerate","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/tools/wipsautogenerate","AR Manager - Payments Admin"
GAP,"WIPS Configuration","setup/wipsadministration","setup/wipsadministration","ARManagera13NET","ARManagera13NET","/armanagera13net/content2/setup/wipsadministration","AR Manager - Payments Admin"